,,
,以前はよくピアノを弾いてたんだ, I used to play the piano
,私の新しい髪型どうかしら？, What do you think of my new haircut
,ありえない, No way
,早起きには慣れている, I’m used to getting up early
,辛い料理には慣れている, I’m used to spicy food
,了解, All right
,そうすれば、たくさん観光できるよね, That way we can a lot of sightseeing
,ちょっと言ってもいい, Can I say something
,今日のランチはなんですか？, What's for lunch today
,はいではそれをいただきます, OK I’ll have that
,ご親切にどうもありがとう, Oh thanks that's very kind of you
,火がつけられないの, I can’t start the fire
,ちょっと待って, Hold on
,ほんとそうよね, I’m telling you
,うん、それは残念, That too bad
,サーフィンした事ある？, Have you ever tried surfing
,彼のこと聞いたことある, Have you ever heard of him
,アイスクリームが食べたい, I feel like some ice cream
, 1杯飲みたいなぁ, I feel like a drink
,酔ってしまいたい気分だ, I feel like getting drunk
,仕事に問題を抱えてます, I’m having a trouble with my job
,健康上の問題があります, I'm having a trouble with my health
,様子を見ます, I wait and see
,最近疲れてるみたいだね, You seem to be tired these days
,乗せてってあげましょうか？, Do you want me to give you a ride
,ついでに何か買ってこようか？, Do you want me to pick up something
,引っ越そうかなぁと思ってる, I’m thinking of moving out
,あなたのことを考えています, I am thinking of you
,新しい車を買おうかと思ってるんだ, I'm thinking of buying a new car
,できるなら、来月に, If possible next month
,そうできるといいんだけど, That would be great
,バイバイ連絡してね, Goodbye keep in touch
,どうなってんの？, What’s going on
,昼間にやったらどう？, Why not do it during the daytime
,初めてお目にかかります, I don’t think we’ve met
,私の名刺です, Here’s my business card
,ほんとにその通り, You can say that again
,もちろん、、だけど、早くしてね, Sure but make it fast
,どこに病院があるか知ってますよ, I know where the hospital is
,2番目の信号で右に行ったら病院が見えますよ, Go right at the second light and you’ll find the hospital
,東京に行くのが待ち切れないわ, I can’t wait to go to Tokyo
,休暇が待ち切れないわ, I can’t wait to go on vacation
,まじで, Seriously
,きっとできるよ, You’ll make it
,この旅行で何が楽しみなの？, What are you looking forward to in this trip
,どんな料理が好き？, What kind of food would you prefer
,キングという名前のレストランがオススメです, I recommend a restaurant called King
,明日空いてるかどうかわからない, I’m not sure if it open tomorrow
,それは残念, What a shame
,試してみたい？, Do you want to try it
,中にタコが入ってるんだよ, There’s octopus in it
,背が高かったらよかったんだけど, I wish I were taller
,パリに行けたらよかったんだけど, I wish I could go to Paris
,彼が助けてくれるといいんだけど, I wish he would help
,うん、それでも大丈夫, I can live with that
,まだ準備できてないの, Aren’t you ready yet
,信じて, Take my word for it
,まだ着替えてないの, Aren’t dressed yet
,もちろん, Certainly
,正しくその通り, Exactly
,飲み物持っていきましょうか？, Shall I bring drinks
,乗せていきましょうか？, Should I give you a ride
,日本には仕事でそれともレジャーで？, Are you here in Japan for business or pleasure
,楽しんでくださいね, Hope you’ll enjoy it
,帰らないと, It’s time to say goodbye
,休憩の時間だよ, It's time to take a break
,出かける時間だよ, It’s time to go now
, Facebookやってる, Are you on Facebook
,友達リクエストを送ってもいい？, May I send you a friend request
,おめでとう, Oh congratulations
,浮かない顔ね, You don't look that happy
,どうかしたの？, What's wrong
,きっとうまくいくよ, Things will turn out OK
,そろそろ帰ったほうが良さそう, Yeah but I’d better to going
,もっと居たかったんだけど, I’d like to stay longer
,ちょっとお伺いしたいんですが, I’d like to ask you a question
